Ca ids,ICC2861_Control,ICC2861_Stress,ICC283_Control,ICC283_Stress
Ca_09381,295.3333333333333,292.3333333333333,294.0,130.66666666666666
Ca_09382,115.33333333333333,93.0,81.0,133.33333333333334
Ca_09383,208.33333333333334,149.0,157.66666666666666,246.33333333333334
Ca_09384,286.6666666666667,189.33333333333334,242.66666666666666,230.33333333333334
Ca_09385,286.6666666666667,189.33333333333334,242.66666666666666,230.33333333333334
Ca_09386,934.3333333333334,796.3333333333334,626.0,906.0
Ca_09387,0.3333333333333333,1.6666666666666667,0.0,0.6666666666666666
Ca_09388,1047.3333333333333,925.6666666666666,552.6666666666666,906.3333333333334
Ca_09389,206.33333333333334,144.33333333333334,139.0,164.33333333333334
Ca_09390,11.0,7.666666666666667,4.666666666666667,5.666666666666667
Ca_09391,206.33333333333334,144.33333333333334,139.0,164.33333333333334
Ca_09392,206.33333333333334,144.33333333333334,139.0,164.33333333333334
Ca_09393,0.0,0.0,0.0,0.0
Ca_09394,68.33333333333333,70.0,44.333333333333336,62.666666666666664
Ca_09395,545.0,293.6666666666667,434.0,391.0
Ca_09397,227.0,193.66666666666666,172.0,193.0
Ca_09398,227.0,193.66666666666666,172.0,193.0
Ca_09399,93.66666666666667,83.33333333333333,92.66666666666667,116.0
Ca_09400,74.33333333333333,80.33333333333333,84.0,84.33333333333333
Ca_09401,0.0,0.3333333333333333,0.0,0.0
Ca_09402,14.666666666666666,14.333333333333334,10.0,15.333333333333334
Ca_09403,7.0,4.333333333333333,0.3333333333333333,0.3333333333333333
Ca_09404,17.0,11.333333333333334,8.0,23.666666666666668
Ca_09405,237.33333333333334,175.66666666666666,182.0,246.0
Ca_09406,18.666666666666668,15.0,12.666666666666666,17.333333333333332
Ca_09407,1.3333333333333333,0.3333333333333333,8.666666666666666,0.0
Ca_09408,0.3333333333333333,0.0,1.3333333333333333,0.0
Ca_09409,30.666666666666668,23.666666666666668,15.0,21.333333333333332
Ca_09410,7.333333333333333,4.333333333333333,2.6666666666666665,5.333333333333333
Ca_09411,30.333333333333332,17.666666666666668,8.666666666666666,17.0
Ca_09412,6.333333333333333,2.0,6.0,6.0
Ca_09413,60.666666666666664,70.66666666666667,36.666666666666664,60.333333333333336
Ca_09414,490.0,436.3333333333333,199.33333333333334,375.6666666666667
Ca_09417,119.33333333333333,123.0,60.0,88.0
Ca_09418,9.333333333333334,4.0,13.666666666666666,4.0
Ca_09419,33.0,24.0,16.0,18.0
Ca_09420,718.0,588.0,429.6666666666667,627.6666666666666
Ca_09421,175.33333333333334,124.33333333333333,115.0,115.33333333333333
Ca_09422,0.6666666666666666,0.0,0.0,0.3333333333333333
Ca_09423,2304.6666666666665,2054.0,1222.6666666666667,1941.3333333333333
Ca_09424,256.6666666666667,195.0,120.66666666666667,336.3333333333333
Ca_09425,0.0,0.0,0.0,0.0
Ca_09426,1.0,0.0,0.0,0.3333333333333333
Ca_09428,76.33333333333333,55.333333333333336,54.666666666666664,52.333333333333336
Ca_09429,14.0,7.666666666666667,5.666666666666667,7.333333333333333
Ca_09430,19.333333333333332,21.333333333333332,40.666666666666664,17.0
Ca_09431,13.666666666666666,9.333333333333334,4.0,15.0
Ca_09432,184.66666666666666,150.0,75.33333333333333,85.33333333333333
Ca_09433,13.333333333333334,17.666666666666668,7.666666666666667,8.0
Ca_09434,307.6666666666667,338.3333333333333,361.6666666666667,370.3333333333333
Ca_09435,138.33333333333334,87.33333333333333,118.33333333333333,93.33333333333333
Ca_09436,22.0,16.0,6.333333333333333,10.333333333333334
Ca_09437,22.0,16.0,6.333333333333333,10.333333333333334
Ca_09438,4.0,3.6666666666666665,3.6666666666666665,2.3333333333333335
Ca_09439,0.6666666666666666,0.3333333333333333,0.0,0.0
Ca_09440,0.0,0.6666666666666666,0.0,0.0
Ca_09441,25.333333333333332,23.333333333333332,17.666666666666668,29.333333333333332
Ca_09442,275.6666666666667,175.33333333333334,380.6666666666667,199.0
Ca_09443,504.0,386.0,290.3333333333333,359.3333333333333
Ca_09444,146.0,146.0,111.66666666666667,162.0
Ca_09445,40.0,40.666666666666664,52.0,97.33333333333333
Ca_09446,860.6666666666666,541.3333333333334,745.0,637.6666666666666
Ca_09447,3.3333333333333335,0.0,1.3333333333333333,0.3333333333333333
Ca_09448,0.3333333333333333,0.0,1.3333333333333333,0.0
Ca_09449,135.33333333333334,128.0,260.3333333333333,182.66666666666666
Ca_09450,274.0,232.33333333333334,240.0,288.6666666666667
Ca_09451,370.3333333333333,383.3333333333333,336.3333333333333,359.0
Ca_09453,0.0,0.0,0.0,0.0
Ca_09455,11.0,7.666666666666667,4.666666666666667,5.666666666666667
Ca_09456,88.33333333333333,60.0,96.0,98.33333333333333
Ca_09457,0.6666666666666666,0.0,0.0,0.0
Ca_09458,261.6666666666667,192.33333333333334,244.33333333333334,312.6666666666667
Ca_09459,565.3333333333334,387.0,425.3333333333333,471.3333333333333
Ca_09460,271.0,265.0,243.66666666666666,300.3333333333333
Ca_09461,88.0,69.33333333333333,62.333333333333336,76.0
Ca_09462,157.33333333333334,118.33333333333333,153.66666666666666,141.66666666666666
Ca_09463,0.3333333333333333,0.6666666666666666,1.0,0.0
Ca_09464,1.0,0.3333333333333333,0.0,0.0
Ca_09465,8.0,5.333333333333333,4.666666666666667,6.666666666666667
Ca_09466,0.0,0.3333333333333333,0.0,0.0
Ca_09467,0.3333333333333333,0.0,0.0,0.0
Ca_09468,0.0,0.0,0.3333333333333333,0.3333333333333333
Ca_09469,120.0,98.33333333333333,63.333333333333336,113.33333333333333
Ca_09470,118.0,101.33333333333333,85.33333333333333,90.0
Ca_09471,765.0,772.0,409.6666666666667,346.3333333333333
Ca_09472,2444.6666666666665,2363.6666666666665,3409.3333333333335,3018.0
Ca_09473,120.0,98.33333333333333,63.333333333333336,113.33333333333333
Ca_09474,29.333333333333332,25.666666666666668,34.0,36.333333333333336
Ca_09475,509.6666666666667,502.6666666666667,559.3333333333334,506.6666666666667
Ca_09476,36.333333333333336,21.333333333333332,60.666666666666664,24.333333333333332
Ca_09477,17.333333333333332,5.0,6.666666666666667,4.333333333333333
Ca_09478,81.33333333333333,74.0,57.0,90.33333333333333
Ca_09479,259.3333333333333,255.0,182.0,249.66666666666666
Ca_09480,148.0,123.33333333333333,101.0,132.66666666666666
Ca_09481,7.666666666666667,7.0,19.333333333333332,6.333333333333333
Ca_09482,798.0,685.0,605.6666666666666,1401.0
Ca_09483,8.0,2.3333333333333335,2.3333333333333335,1.0
Ca_09484,42.666666666666664,40.0,17.333333333333332,15.333333333333334
Ca_09485,97.66666666666667,74.33333333333333,105.66666666666667,100.66666666666667
Ca_09486,0.6666666666666666,1.6666666666666667,1.0,1.0
Ca_09487,709.6666666666666,652.0,333.0,556.6666666666666
Ca_09488,29.0,23.666666666666668,15.333333333333334,44.333333333333336
Ca_09489,59.0,44.666666666666664,63.333333333333336,53.666666666666664
Ca_09490,177.66666666666666,105.66666666666667,107.33333333333333,106.33333333333333
Ca_09491,284.0,271.0,200.0,289.6666666666667
Ca_09492,1.3333333333333333,0.0,0.0,0.0
Ca_09493,218.33333333333334,201.0,129.0,135.0
Ca_09494,29.666666666666668,7.333333333333333,13.333333333333334,7.0
Ca_09495,189.0,108.33333333333333,129.66666666666666,61.0
Ca_09496,457.3333333333333,261.0,220.0,240.66666666666666
Ca_09497,23.333333333333332,21.666666666666668,10.666666666666666,9.333333333333334
Ca_09498,193.33333333333334,158.33333333333334,195.0,205.33333333333334
Ca_09499,1883.3333333333333,1939.6666666666667,1434.3333333333333,1474.0
Ca_09500,600.3333333333334,558.6666666666666,555.3333333333334,455.3333333333333
Ca_09501,541.6666666666666,411.6666666666667,385.0,344.3333333333333
Ca_09502,1098.0,1147.6666666666667,546.3333333333334,764.3333333333334
Ca_09503,794.3333333333334,521.6666666666666,601.6666666666666,632.0
Ca_09504,249.66666666666666,279.6666666666667,218.66666666666666,312.3333333333333
Ca_09505,2885.6666666666665,2654.6666666666665,2279.3333333333335,2703.6666666666665
Ca_09506,113.33333333333333,92.0,68.66666666666667,54.333333333333336
Ca_09507,15.666666666666666,12.0,7.666666666666667,7.333333333333333
Ca_09508,90.0,48.333333333333336,55.0,46.333333333333336
Ca_09509,46.333333333333336,24.0,4.333333333333333,8.666666666666666
Ca_09510,373.0,330.0,361.3333333333333,338.6666666666667
Ca_09511,49.333333333333336,34.0,40.666666666666664,28.666666666666668
Ca_09512,18.0,10.666666666666666,5.333333333333333,11.333333333333334
Ca_09513,256.3333333333333,215.0,252.66666666666666,240.33333333333334
Ca_09514,199.0,159.0,174.0,175.33333333333334
Ca_09515,158.0,114.33333333333333,94.66666666666667,71.0
Ca_09516,111.33333333333333,82.66666666666667,136.33333333333334,101.33333333333333
Ca_09517,45.0,34.0,24.666666666666668,33.333333333333336
Ca_09518,95.0,66.0,66.33333333333333,88.33333333333333
Ca_09519,336.0,266.3333333333333,389.0,359.3333333333333
Ca_09520,81.33333333333333,63.333333333333336,81.66666666666667,43.666666666666664
Ca_09521,4.0,0.6666666666666666,5.666666666666667,0.6666666666666666
Ca_09522,514.0,342.3333333333333,439.0,457.6666666666667
Ca_09523,514.0,342.3333333333333,439.0,457.6666666666667
Ca_09524,185.66666666666666,191.33333333333334,145.66666666666666,167.33333333333334
Ca_09525,0.3333333333333333,0.0,0.0,0.0
Ca_09526,2496.3333333333335,2282.3333333333335,1796.3333333333333,2749.3333333333335
Ca_09527,475.3333333333333,337.3333333333333,187.33333333333334,217.33333333333334
Ca_09528,142.66666666666666,117.0,53.333333333333336,77.66666666666667
Ca_09529,142.66666666666666,117.0,53.333333333333336,77.66666666666667
Ca_09530,180.33333333333334,89.0,115.0,101.0
Ca_09531,332.6666666666667,230.66666666666666,174.0,177.33333333333334
Ca_09532,23.666666666666668,21.333333333333332,31.0,22.0
Ca_09533,145.33333333333334,134.66666666666666,108.33333333333333,46.0
