Gene_identifier,Root-Control,Root-SS,Shoot-Control,Shoot-SS
Ca_00287,1.29662,1.37668,0.647876,0.72932
Ca_00288,17.8086,11.8209,8.92161,13.9941
Ca_00289,0.0,0.0,0.0,0.0
Ca_00290,0.0,0.0626466,0.0621405,0.0625636
Ca_00291,0.0,0.0426693,0.0,0.0
Ca_00292,0.0,0.0524538,0.0,0.0544238
Ca_00293,8.82365,23.8221,1.41772,1.96269
Ca_00294,37.2126,28.5954,38.6989,29.3143
Ca_00295,0.141272,0.179759,0.0,0.0
Ca_00296,0.805791,0.0721622,0.397241,0.219534
Ca_00297,20.4241,35.5,19.0979,34.089
Ca_00298,38.5363,33.1938,23.4883,20.4766
Ca_00299,87.2385,185.487,2.00018,2.04881
Ca_00300,28.7079,11.4636,9.06863,5.16651
Ca_00301,6.22249,5.80435,16.1882,17.3646
Ca_00302,0.458098,0.0848786,0.0,0.0
Ca_00303,29.5997,20.851,29.3362,26.4007
Ca_00304,13.4858,10.7213,16.2871,16.2215
Ca_00305,35.9012,14.7758,5.70129,4.08149
Ca_00306,15.8259,19.0977,3.80571,5.30107
Ca_00307,14.9855,12.2073,35.5105,37.0792
Ca_00308,4.94,9.8346,23.1104,15.18
Ca_00309,4.64563,9.40495,7.43612,5.1313
Ca_00310,7.29549,7.35628,4.38002,6.45556
Ca_00311,2.93817,6.50631,10.9263,7.15089
Ca_00312,166.083,180.613,120.647,150.548
Ca_00313,2.65604,2.41271,3.54351,4.03754
Ca_00314,2.2776,1.76497,1.75248,0.881072
Ca_00315,14.2554,29.8668,4.43384,6.31113
Ca_00316,16.5249,56.5881,8.01792,22.245
Ca_00317,0.0,0.206586,0.0,0.209429
Ca_00318,13.7143,30.1584,17.0457,24.7061
Ca_00319,0.0,0.0,0.0,0.150253
Ca_00320,0.0,0.372192,0.0353755,0.0529876
Ca_00321,3.62482,5.79993,4.81815,5.63675
Ca_00322,6.63118,18.4138,25.5935,29.213
Ca_00323,20.9025,18.4716,23.4405,27.797
Ca_00324,20.9025,18.4716,23.4405,27.797
Ca_00325,24.8951,16.7582,7.67292,10.6655
Ca_00326,16.3711,30.7357,11.4999,29.2482
Ca_00327,12.3562,4.45262,6.34204,8.68598
Ca_00328,6.83816,9.88445,4.32994,3.9101
Ca_00329,11.2519,5.28994,1.01891,0.995579
Ca_00330,1.52401,0.295377,0.0496458,0.198691
Ca_00331,5.31699,7.3209,10.2838,19.1163
Ca_00332,14.6905,27.9038,9.03284,17.5163
Ca_00333,14.6905,27.9038,9.03284,17.5163
Ca_00334,0.0841598,0.0644836,0.0,0.0978812
Ca_00335,0.388332,0.250519,1.22671,0.276372
Ca_00336,4.72744,140.629,2.81782,0.646894
Ca_00337,3.03931,5.02735,16.9,12.6217
Ca_00338,11.8612,11.3831,75.4233,74.3819
Ca_00339,17.8909,38.4825,10.627,12.4337
Ca_00340,0.483701,0.0311533,1.93349,1.36049
Ca_00341,4.70759,8.0219,0.504383,0.539253
Ca_00342,46.766,29.4767,18.2563,24.2399
Ca_00343,1.44536,1.28153,2.25947,1.60403
Ca_00344,21.3082,38.5655,9.54139,19.7521
Ca_00345,1.15282,1.51249,4.9748,2.24351
Ca_00346,131.753,28.8455,153.883,128.297
Ca_00347,6.59621,0.967166,12.8993,6.52365
Ca_00348,74.4154,66.2572,61.0466,59.3171
Ca_00349,74.4154,66.2572,61.0466,59.3171
Ca_00350,0.204934,0.15333,0.0,0.155964
Ca_00351,63.0815,36.5757,50.176,48.022
Ca_00352,19.2283,22.7998,9.00777,8.20112
Ca_00353,0.0,0.580031,0.0,0.168868
Ca_00354,0.0617783,0.0954188,0.0,0.0
Ca_00355,42.1364,52.7576,28.2139,31.1719
Ca_00356,0.0,0.0,0.737224,0.526551
Ca_00357,0.0,0.0,0.0350729,0.0712109
Ca_00358,0.141673,0.0,0.143831,0.0
Ca_00359,0.725178,0.928132,59.9877,32.2269
Ca_00360,3.8004,1.89154,3.78961,4.49124
Ca_00361,0.245059,0.400906,15.7414,8.48891
Ca_00362,20.4155,10.4133,2.17617,17.4525
Ca_00363,57.0513,68.5834,54.3856,69.4811
Ca_00364,80.478,62.887,52.9294,62.0138
Ca_00365,47.8262,32.3188,88.2286,67.0848
Ca_00366,0.0,0.0,0.0,0.0499916
Ca_00367,0.0,0.0363443,0.0369868,0.0
Ca_00368,2.44423,1.244,4.21077,2.21756
Ca_00369,0.567791,0.346273,0.505961,1.18089
Ca_00370,11.8614,13.2635,24.063,19.5645
Ca_00371,7.64471,22.4461,0.892496,3.92001
Ca_00372,82.7772,53.2151,98.3173,56.8501
Ca_00373,5.33077,3.52069,38.2266,21.0541
Ca_00374,0.0,0.0,0.0,0.0
Ca_00375,33.7003,19.7932,24.1431,25.3411
Ca_00376,128.17,136.744,157.749,250.511
Ca_00377,6.55674,9.77,5.52937,6.38509
Ca_00378,11.262,14.4318,9.29583,10.8537
Ca_00379,6.20707,11.8048,19.7416,11.9181
Ca_00380,1.46274,3.16362,5.28135,1.66678
Ca_00381,0.147042,0.464695,0.663182,0.317064
Ca_00382,16.0404,22.084,7.00062,8.63235
Ca_00383,7.26282,11.8246,8.60347,13.9632
Ca_00384,0.53186,0.732934,0.821091,0.167089
Ca_00385,2.43788,14.9474,11.7899,5.34732
Ca_00386,74.0921,52.4029,54.4056,92.6893
Ca_00387,41.0778,113.557,28.3856,33.388
Ca_00388,13.9287,10.674,15.1944,12.3548
Ca_00389,1.69551,3.80863,3.65263,3.66768
Ca_00390,15.1046,13.571,10.4352,13.0891
Ca_00391,2.79363,5.18897,22.6749,22.1365
Ca_00392,0.0881741,0.159831,45.8349,35.3048
Ca_00393,0.0314291,0.0489354,0.462614,0.585166
Ca_00394,38.9177,19.3923,23.6439,20.9001
Ca_00395,286.855,154.487,147.626,214.315
Ca_00396,0.521385,1.29648,0.0573383,0.201405
Ca_00397,76.8929,36.1717,8.63731,8.09596
Ca_00398,394.831,61.81,9.39323,3.8443
Ca_00399,25.3681,59.0881,21.0933,34.0881
Ca_00400,2.00564,5.61367,0.354854,0.894655
Ca_00401,29.1746,21.2307,27.1455,33.1291
Ca_00402,0.257996,0.294946,0.0,0.500269
Ca_00403,7.20892,7.22278,7.68908,7.87949
Ca_00404,0.0,0.0,0.0,0.0
Ca_00405,0.0,0.0,0.0,0.0
Ca_00406,0.0,0.0,0.0,0.0
Ca_00407,0.0,0.0,0.0,0.0
Ca_00408,0.0,0.0,0.0,0.0
Ca_00409,0.0,0.0,0.0,0.0
Ca_00410,0.0,0.0,0.0,0.0
Ca_00411,0.0,0.0,0.0,0.0
Ca_00412,0.0,0.0,0.0,0.0
Ca_00413,0.0,0.0,0.0,0.0
Ca_00414,13.7467,18.0147,11.7782,12.344
Ca_00415,8.13488,11.9517,12.2504,11.948
Ca_00416,10.2392,7.78594,9.88032,14.3229
Ca_00417,0.0853968,0.0642309,0.192233,0.0657758
Ca_00418,0.294619,0.221159,4.01253,1.96941
Ca_00419,71.2615,32.2519,64.5558,44.5118
Ca_00420,0.231696,0.586189,0.176777,0.147745
Ca_00421,1.04276,0.985789,2.26895,2.43581
Ca_00422,9.81324,24.9413,16.0885,8.43602
Ca_00423,101.014,222.595,89.7955,86.5639
Ca_00424,34.9983,23.9837,27.1288,23.808
Ca_00425,5.74675,30.6497,23.7715,43.5101
Ca_00426,34.149,54.782,14.4661,24.6745
Ca_00427,15.072,9.44238,6.82951,5.97366
Ca_00428,0.280642,2.64892,1.39008,0.879301
Ca_00429,95.85,21.9657,28.4351,17.6901
Ca_00430,0.0,0.0,0.118439,0.0
Ca_00431,16.0369,12.2142,11.7135,10.6762
Ca_00432,15.596,4.37297,16.0341,13.8357
Ca_00433,0.386663,3.545,0.207583,0.607184
Ca_00434,56.8486,68.8327,53.586,42.5271
Ca_00435,56.8486,68.8327,53.586,42.5271
Ca_00436,1.31449,6.38292,3.56077,3.32167
Ca_00437,12.7048,11.0361,15.7001,14.2142
Ca_00438,45.0279,30.3273,18.5841,27.373
Ca_00439,0.0,0.0510496,0.099985,0.75587
Ca_00440,4.51255,7.13227,4.94927,5.60881
Ca_00441,9.22546,7.19607,13.029,10.3405
Ca_00442,65.0779,120.107,30.1612,39.4741
Ca_00443,0.0,0.596824,0.126811,0.0859611
Ca_00444,2.89168,5.29546,13.5775,4.92122
Ca_00445,0.251174,0.327321,2.40828,6.0236
Ca_00446,106.371,46.1423,86.3379,57.8149
Ca_00447,20.8438,23.2586,26.5646,28.7762
Ca_00448,17.3203,8.53939,138.342,107.105
Ca_00449,12.9908,28.5058,12.4843,13.292
Ca_00450,12.9908,28.5058,12.4843,13.292
Ca_00451,37.0892,28.2275,15.2889,15.7814
Ca_00452,2.9795,4.74877,14.2801,5.71623
Ca_00453,7.3317,16.364,0.807354,2.21565
Ca_00454,5.23605,2.71943,15.2861,16.9578
Ca_00455,1.56428,7.97823,4.02389,5.95504
Ca_00456,8.11023,2.60268,2.26989,2.49298
Ca_00457,0.571129,0.0,1.07784,0.38512
Ca_00457,33.2445,12.3661,24.6452,19.663
Ca_00458,40.2769,19.2013,26.6161,27.9542
Ca_00459,127.252,32.5269,83.6205,50.0687
Ca_00460,18.9261,18.4616,20.2435,15.5395
Ca_00461,7.42969,2.10706,7.0449,5.21871
Ca_00462,10.1188,9.34345,93.5093,73.0981
Ca_00463,1.06808,1.99712,1.17067,1.03354
Ca_00464,3.61604,1.76017,0.413635,7.49986
Ca_00465,63.72,13.4365,0.0911591,1.38755
Ca_00466,44.6101,37.352,34.6865,36.5319
Ca_00467,6.16951,1.44902,3.22985,1.31486
Ca_00468,0.423461,0.207199,0.41607,0.0894992
Ca_00469,7.59098,9.20878,11.8041,8.58153
Ca_00470,24.1383,42.0066,45.8769,46.1325
Ca_00471,24.1383,42.0066,45.8769,46.1325
Ca_00472,3.09488,3.2573,2.13717,2.75167
Ca_00473,0.0,0.0534703,0.0723713,0.0
Ca_00474,11.3219,8.18191,15.4295,14.4585
Ca_00475,9.82711,59.6454,4.84343,7.32227
Ca_00476,42.4476,56.7348,42.8553,64.9432
Ca_00477,16.7349,37.3758,16.6671,22.7099
Ca_00478,41.1574,210.143,46.1139,38.7973
Ca_00479,14.4243,31.5464,5.84714,7.88049
Ca_00480,25.3524,28.6362,22.5971,18.451
Ca_00481,2.71627,6.53807,5.28335,3.6496
Ca_00482,6.75147,5.88922,8.83137,7.44503
Ca_00483,19.4291,19.5373,12.2145,10.6896
Ca_00484,1.2664,0.717617,16.8941,3.24613
Ca_00484,6.17728,10.8712,12.2759,11.8018
Ca_00485,25.1576,20.6585,27.3927,24.0589
Ca_00486,8.40222,3.94357,6.83761,5.59656
Ca_00487,5.04504,4.30099,5.56774,3.42274
Ca_00488,19.5857,21.4167,28.1874,28.0522
Ca_00489,9.1028,10.8723,11.3546,9.88616
Ca_00490,45.4256,26.7464,27.7874,29.1609
Ca_00491,7.96061,14.4805,5.33142,6.50977
Ca_00492,30.2853,29.5098,18.5848,24.536
Ca_00493,4.10536,9.13023,3.90244,5.79747
Ca_00494,1.04719,2.41117,0.0,0.185494
Ca_00495,20.0826,8.73701,0.0768474,0.0735885
Ca_00496,1.30809,1.58794,27.9256,32.6318
Ca_00497,275.972,209.209,290.615,395.418
Ca_00498,10.7406,15.3546,19.9019,21.422
Ca_00499,19.0479,25.1304,7.98424,11.2646
Ca_00500,13.309,12.8046,24.8261,18.6688
Ca_00501,2.10602,2.67828,2.35459,2.744
