Test-id,Gene,FPKM-SS-C,FPKM-SS-S,FPKM-ST-C,FPKM-ST-S
XLOC_017986,Ca_13271,0.144056,0.106266,0.03708,0.0413048
XLOC_017987,Ca_13272,0.389948,0.432885,0.414338,0.370468
XLOC_017988,Ca_13273,11.8566,11.8312,13.8952,15.1524
XLOC_016055,Ca_13274,142.457,112.264,209.113,349.657
XLOC_017989,Ca_13275,0.0,0.0,0.0767914,0.0
XLOC_016056,Ca_13276,22.2984,20.9646,22.1352,21.8649
XLOC_016057,Ca_13277,129.244,122.823,120.248,121.875
XLOC_017990,Ca_13278,20.6244,25.442,23.1432,24.8811
XLOC_016058,Ca_13279,50.0748,44.2162,68.908,133.423
XLOC_017991,Ca_13280,39.3236,37.9665,42.6304,42.5882
XLOC_017992,Ca_13281,3.40623,3.66464,4.04601,3.34597
XLOC_017993,Ca_13282,1081.38,845.907,727.043,886.311
XLOC_016059,Ca_13283,5.02858,4.52665,5.60616,4.63288
XLOC_016060,Ca_13284,47.8535,37.108,31.0189,32.8349
XLOC_016061,Ca_13285,23.8133,22.371,26.7549,20.7134
XLOC_016062,Ca_13286,5.56306,5.76077,4.4813,4.63667
XLOC_016063,Ca_13287,1.22413,1.09457,1.5837,1.19685
XLOC_016064,Ca_13288,10.1119,7.51049,8.59264,8.43585
XLOC_017994,Ca_13289,136.722,117.317,167.638,201.411
XLOC_017995,Ca_13290,56.2907,57.5824,49.4984,49.7093
XLOC_016065,Ca_13291,0.0,0.0,0.0,0.0
XLOC_016066,Ca_13292,0.0,0.0,0.0,0.0
XLOC_016067,Ca_13293,8.78647,6.3202,7.0514,6.79025
XLOC_017996,Ca_13294,9.09026,11.2545,6.74603,8.16267
XLOC_016068,Ca_13295,53.2086,53.0052,41.0361,41.7301
XLOC_017997,Ca_13296,67.3167,46.289,31.6629,30.8922
XLOC_017998,Ca_13297,7.5298,6.80517,10.7511,7.82241
XLOC_017999,Ca_13298,58.9186,64.3612,42.6362,52.8429
XLOC_018000,Ca_13299,4.08768,4.39394,4.39422,4.06337
XLOC_016069,Ca_13300,10.7287,10.3804,7.26681,7.72906
XLOC_016070,Ca_13301,58.5462,60.5646,70.9981,66.6754
XLOC_016070,Ca_13302,58.5462,60.5646,70.9981,66.6754
XLOC_018001,Ca_13303,13.1594,9.15108,16.886,10.3554
XLOC_016071,Ca_13304,0.0,0.0,1.53379,0.0
XLOC_016072,Ca_13305,9.71263,8.92966,11.4117,9.25282
XLOC_018002,Ca_13306,1.96262,1.82136,2.84789,2.22692
XLOC_016073,Ca_13307,19.6199,23.7014,22.321,22.6141
XLOC_016074,Ca_13308,38.2307,36.0986,40.4775,41.1228
XLOC_016075,Ca_13309,50.3784,48.4665,38.7913,45.7489
XLOC_018003,Ca_13310,10.2179,9.41452,14.1981,9.95148
XLOC_018004,Ca_13311,9.15478,8.68626,9.86604,8.75131
XLOC_016076,Ca_13312,7.61871,10.2992,11.456,8.22367
XLOC_018005,Ca_13313,31.0527,33.7705,34.9956,35.0218
XLOC_018006,Ca_13314,9.23464,9.29249,10.2483,14.5314
XLOC_018007,Ca_13315,35.9945,32.6505,39.5066,43.04
XLOC_018008,Ca_13316,0.0,0.0,0.0,0.0
XLOC_016077,Ca_13317,7.80781,9.98981,8.07118,10.6743
