Gene_identifier,Root-Control,Root-DS,Shoot-Control,Shoot-DS
Ca_03153,0.0,0.0,0.0,0.0
Ca_03154,18.5539,19.7624,16.3911,21.4719
Ca_03155,0.0,0.0,0.19943,0.104534
Ca_03156,17.697,19.1693,29.1613,37.0664
Ca_03157,0.648232,0.607602,0.601201,1.42879
Ca_03158,52.9474,56.7292,56.5889,43.4968
Ca_03159,0.0,0.0,0.243677,0.0
Ca_03160,5.54601,7.90883,4.73462,4.57712
Ca_03161,15.0681,13.3236,1.38205,2.43007
Ca_03162,22.7777,17.4006,23.3848,18.3322
Ca_03163,1.41554,1.42864,5.7352,4.23869
Ca_03164,0.174211,5.00712,2.21627,1.13432
Ca_03165,0.350406,1.92313,20.0258,5.68218
Ca_03166,148.904,152.18,155.994,74.7399
Ca_03167,24.8343,31.6273,32.0779,35.6586
Ca_03168,0.0405715,0.0671063,3.77992,0.915882
Ca_03169,8.72186,9.29912,0.584456,1.20596
Ca_03170,5.4849,2.86584,7.50644,4.49988
Ca_03171,33.497,41.9443,37.4848,56.3229
Ca_03172,283.49,2063.97,28.6483,34.8916
Ca_03173,283.49,2063.97,28.6483,34.8916
Ca_03174,1.72185,9.70861,6.79782,22.9304
Ca_03175,3.82917,3.057,6.04132,3.90442
Ca_03176,7.68222,1.42885,2.06366,2.4948
Ca_03177,0.0775633,0.0316394,0.916941,0.21523
Ca_03178,43.0571,29.8047,15.3254,11.4166
Ca_03179,54.0639,45.8549,36.0362,53.896
Ca_03180,0.808125,0.663239,1.21816,0.0
Ca_03181,0.673069,0.634644,1.94922,0.713988
Ca_03182,6.12077,3.09317,5.84954,2.56345
Ca_03183,1.2901,0.513668,3.70519,6.62475
Ca_03184,0.412551,0.16887,0.475217,0.660903
Ca_03185,3.4519,2.35051,3.58895,4.03665
Ca_03186,0.227695,0.382049,0.0,0.0
Ca_03187,36.4708,42.9981,25.7509,23.8193
Ca_03188,0.668589,0.641173,8.49625,6.5533
Ca_03189,34.0649,25.1113,72.0006,11.9341
Ca_03190,0.186747,16.5968,0.0721018,0.150485
Ca_03191,269.171,361.463,116.771,157.018
Ca_03192,4.58836,5.50011,5.15235,2.91795
Ca_03193,36.9009,51.9875,7.29635,4.19299
Ca_03194,158.975,175.653,209.07,115.04
Ca_03195,377.716,496.152,600.029,315.044
Ca_03196,34.9315,43.8935,36.3291,34.2918
Ca_03197,34.9315,43.8935,36.3291,34.2918
Ca_03198,6.54724,5.36077,52.5885,56.0509
Ca_03199,12.2147,13.4166,20.7199,17.6439
Ca_03200,11.2932,14.019,11.4529,12.7028
Ca_03201,5.69824,9.9787,9.33206,7.96586
Ca_03202,3.32252,1.35012,31.1777,21.1627
Ca_03203,5.31061,0.50105,2.87002,4.24376
Ca_03204,34.3666,36.3997,20.1973,30.9341
Ca_03205,18.1778,20.1656,20.3447,22.5583
Ca_03206,41.4405,33.7841,11.5043,23.7078
Ca_03207,56.2535,62.6597,32.4064,40.0316
Ca_03208,0.0863347,0.277905,44.2619,51.3254
Ca_03209,4.57654,2.92516,3.22728,2.67392
Ca_03210,0.0,0.0,0.0,0.0
Ca_03211,0.0,0.0,0.0,0.0
Ca_03212,0.0,0.0,0.0,0.0
Ca_03213,0.0,0.0,0.0,0.0
Ca_03214,0.0,0.0,0.0,0.0
Ca_03215,22.3978,20.5401,28.512,26.5664
Ca_03216,32.6166,19.7969,21.0633,49.4484
Ca_03217,5.52407,3.44498,8.50696,14.8959
Ca_03218,6.1829,5.82014,4.8234,4.97635
Ca_03219,7.94673,14.5007,5.93488,3.24265
Ca_03220,77.8217,110.584,44.3234,67.5687
Ca_03221,0.21775,3.35675,0.408805,3.11437
Ca_03222,3.83197,6.20669,6.91928,15.3111
Ca_03223,31.0894,44.9466,1.69957,1.41189
Ca_03224,0.774468,0.701568,0.395644,1.2312
Ca_03225,2.86789,20.2716,0.0,0.494494
Ca_03226,2.57529,3.08434,1.86726,1.52085
Ca_03227,32.4313,21.072,10.4572,21.3531
Ca_03228,97.0746,25.7571,24.9353,14.2434
Ca_03229,23.8601,23.7793,17.2317,30.9922
Ca_03230,23.8601,23.7793,17.2317,30.9922
Ca_03231,23.7097,21.4851,24.29,21.8466
Ca_03232,9.76622,13.5314,8.60829,9.76655
Ca_03233,29.3449,35.2165,35.2841,45.6721
Ca_03234,0.0,0.0,0.0,1.03561
Ca_03235,13.778,17.7922,16.1636,14.8327
Ca_03236,21.8725,21.2351,10.7829,25.5185
Ca_03237,1.14115,1.22791,2.39922,2.01367
Ca_03238,17.692,18.1553,19.744,21.7016
Ca_03239,41.598,28.9777,42.2316,33.847
Ca_03240,101.819,97.0074,39.1537,57.739
Ca_03241,14.8294,11.89,12.8656,8.77556
Ca_03242,10.7388,2.88318,30.8669,13.3719
Ca_03243,60.7061,46.1417,31.4198,45.1625
Ca_03244,55.7326,49.4904,12.1411,3.82193
Ca_03245,1.26993,1.00355,0.0,0.0
Ca_03246,10.8491,14.9116,22.623,31.9058
Ca_03247,5.31888,4.00789,20.1874,29.1631
Ca_03248,9.89063,61.7958,0.629753,3.86482
Ca_03249,25.9425,27.0991,21.5722,20.4019
Ca_03250,0.122653,0.169999,0.0627844,0.0656865
Ca_03251,8.84841,6.92257,827.829,550.502
Ca_03252,17.3317,13.3996,56.0334,52.9765
Ca_03253,0.059438,0.123689,2.40668,3.01492
Ca_03253,3.14461,1.24223,0.61709,0.95683
Ca_03254,20.8474,18.7427,11.1637,23.329
Ca_03255,65.3044,57.4298,44.9531,42.7965
Ca_03256,0.995054,1.69501,5.8557,1.98643
Ca_03257,3.42947,1.83081,9.57597,11.5755
Ca_03258,0.0,0.0566286,6.47367,2.07941
Ca_03259,25.0276,50.8561,39.0386,57.8203
Ca_03260,24.8109,31.0053,215.253,277.179
Ca_03261,9.17969,12.5006,12.1813,22.0876
Ca_03262,6.90981,60.2523,19.3747,28.2739
Ca_03263,5.88028,213.961,1.50856,0.457511
Ca_03264,18.9567,12.0705,42.8747,21.7338
Ca_03265,1.09758,0.68202,2.02091,1.98417
Ca_03266,37.9104,33.838,19.9123,34.6377
Ca_03267,0.24012,1.14854,0.0828063,0.136331
Ca_03268,0.286729,1.08915,0.0373676,0.511837
