Ca_ID,XLOC_ID,10685_AFL_C,10685_AFL_S,10685_AFR_C,10685_AFR_S,10685_BFL_C,10685_BFL_S,10685_BFR_C,10685_BFR_S
Ca_12194,XLOC_007024,9.91545,24.2206,23.0753,16.7201,12.0542,12.6844,19.7783,16.7621
Ca_12197,XLOC_007026,6.38646,13.5148,6.50848,5.2931,17.0657,9.62551,4.68561,4.57413
Ca_12205,XLOC_008501,10.7378,8.46182,5.30004,7.48999,6.97012,12.9675,11.3273,5.53955
Ca_12208,XLOC_007031,1.05506,2.07565,6.31082,17.8727,0.0,16.4905,9.46699,18.25
Ca_12215,XLOC_007036,79.7548,102.178,120.725,172.76,125.485,150.778,112.759,137.963
Ca_12218,XLOC_007037,1.57782,0.0,3.10517,0.0,6.48066,6.80973,4.33455,0.0
Ca_12221,XLOC_007039,8.99081,1.27683,3.12158,1.99482,6.48085,3.43025,3.95286,1.46496
Ca_12226,XLOC_007043,0.0,1.47169,4.11627,2.99709,0.0,3.9811,3.67133,1.61944
Ca_12235,XLOC_007048,23.3015,26.1898,9.47642,3.48202,20.6206,17.5557,11.5906,2.79795
Ca_12237,XLOC_008521,18.3895,29.5654,19.305,31.62,22.9408,33.5077,18.3477,27.6923
Ca_12239,XLOC_007049,4.26598,11.0366,2.85998,4.72028,9.94042,5.11134,4.69246,3.254
Ca_12240,XLOC_007050,34.0153,38.806,24.7748,23.3466,33.9423,39.5029,25.208,16.3349
Ca_12253,XLOC_007056,1.95542,0.0,1.78781,1.19348,1.02423,1.29379,1.7106,1.70245
Ca_12257,XLOC_008531,1108.01,1524.69,882.793,1381.5,1584.71,2345.54,1307.99,1260.25
Ca_12260,XLOC_007059,5.4956,15.1753,2.95301,3.2384,6.83529,8.96799,3.36621,3.4173
Ca_12267,XLOC_007064,56.7659,69.8125,47.6771,60.3179,73.5755,77.317,50.1874,54.4568
Ca_12271,XLOC_008536,5.82923,14.3789,1.50806,1.13676,5.80614,5.86334,1.14205,0.0
Ca_12283,XLOC_007071,0.0,0.0,0.0,6.40888,2.88844,3.38054,0.0,13.2253
Ca_12289,XLOC_007076,14.6077,22.8637,5.25477,3.52237,33.5733,12.3075,4.5461,4.63346
Ca_12298,XLOC_007083,30.0987,10.797,3.04951,1.95587,22.5445,10.8129,2.02249,2.66539
Ca_12299,XLOC_008549,18.0162,15.8383,24.8081,18.1975,20.6415,22.3291,22.1626,19.7056
Ca_12300,XLOC_023337,145.835,223.442,134.36,148.392,226.461,285.026,157.79,141.023
Ca_12301,XLOC_023334,161.473,93.4307,84.3686,107.405,162.908,88.2905,95.2785,109.092
Ca_12312,XLOC_023341,0.0,1.4692,4.07948,4.76746,0.0,2.94252,3.99385,2.65652
Ca_12322,XLOC_023348,1.68882,3.84562,9.57175,7.99713,1.90586,4.07178,6.05166,6.4922
Ca_12348,XLOC_021709,0.0,0.0,1.89182,4.61374,0.0,4.2704,2.29307,3.01071
Ca_12352,XLOC_023366,30.6459,94.6525,24.1159,36.0556,32.8631,29.8455,26.4719,37.5352
Ca_12356,XLOC_021713,0.0,0.0,0.0,0.0,0.0,5.83698,0.0,0.0
Ca_12358,XLOC_021714,39.9674,18.399,4.67883,6.27243,10.3269,13.8639,0.0,16.1746
Ca_12363,XLOC_023372,33.6586,18.2097,0.0,2.34404,61.4403,9.8475,1.26678,0.0
Ca_12367,XLOC_023376,19.846,22.911,9.54102,10.1878,17.1739,13.0794,9.53801,9.06484
Ca_12373,XLOC_023380,2.18686,0.0,13.3389,7.43922,0.0,7.3317,8.29486,3.93198
Ca_12375,XLOC_021722,36.3034,62.1118,46.7535,37.6095,45.7589,44.2917,39.7529,40.2733
Ca_12377,XLOC_021724,0.0,3.05041,0.0,0.0,1.51837,1.20555,1.68122,1.407
Ca_12381,XLOC_021726,0.0,2.39122,0.0,0.0,1.16177,6.7746,0.0,0.0
Ca_12387,XLOC_023388,26.5242,2.64877,4.64655,0.0,44.0529,2.958,5.50111,0.0
Ca_12391,XLOC_021729,11.1395,6.34719,6.16974,5.59275,10.3612,6.03393,5.55388,4.67038
Ca_12400,XLOC_023395,0.0,4.19956,2.84219,4.90986,1.53993,3.62211,3.74908,4.70179
Ca_12402,XLOC_021735,6.18642,3.06236,6.9034,7.38579,10.104,2.14567,8.29491,7.75166
Ca_12403,XLOC_021735,6.18642,3.06236,6.9034,7.38579,10.104,2.14567,8.29491,7.75166
Ca_12416,XLOC_023406,20.1503,32.2398,27.8201,57.3848,30.6449,22.3021,38.6382,50.1082
Ca_12425,XLOC_004500,9.41804,12.3536,0.0,0.0,22.6717,13.4575,0.0,0.0
Ca_12435,XLOC_004495,364.189,244.086,300.294,1990.42,495.9,666.498,326.532,2196.61
Ca_12443,XLOC_005700,2.34483,3.55018,0.0,1.66852,3.11279,3.74215,0.0,1.52871
Ca_12444,XLOC_004489,17.3609,15.1203,12.9968,14.9599,18.9391,21.4527,13.9382,14.9884
Ca_12446,XLOC_005698,6.05939,3.37378,9.08026,18.2971,6.02544,23.6092,9.20375,21.5996
Ca_12448,XLOC_005695,10.7146,133.246,316.06,137.92,13.0053,17.2166,344.552,133.785
Ca_12449,XLOC_004488,23.687,16.325,25.1993,8.1386,23.3159,9.12276,26.1631,8.33586
Ca_12453,XLOC_005692,457.982,133.775,108.547,315.406,671.694,214.937,107.46,308.92
Ca_12454,XLOC_004486,260.924,307.786,222.029,268.474,297.333,333.911,231.659,270.289
Ca_12457,XLOC_004484,3.4751,6.1678,3.21208,2.23296,2.05727,3.13487,2.91653,2.36463
Ca_12460,XLOC_005689,1.49208,2.18892,1.02633,0.0,1.88399,1.62274,1.04492,0.0
