test_id,gene,FPKM-DS-C,FPKM-DS-D,FPKM-DT-C,FPKM-DT-D
XLOC_001914,Ca_00342,17.8665,15.8341,13.2971,11.5589
XLOC_000324,Ca_00343,13.862,13.2155,5.01753,6.32542
XLOC_000325,Ca_00344,10.5586,20.889,9.33771,2.37805
XLOC_000326,Ca_00345,2.65664,4.87013,9.98655,9.42649
XLOC_000327,Ca_00346,0.0,0.0,0.0,0.0230203
XLOC_001915,Ca_00347,11.8855,21.3592,16.7129,18.871
XLOC_000328,Ca_00348,17.5142,14.5509,24.6045,14.5038
XLOC_000329,Ca_00349,5.99655,7.57788,6.11771,6.44499
XLOC_000330,Ca_00350,0.240254,0.0622803,0.0906652,0.293591
XLOC_000331,Ca_00351,6.21182,10.7753,7.05601,7.42456
XLOC_001917,Ca_00352,206.43,115.626,146.526,181.125
XLOC_000332,Ca_00353,27.1374,24.099,15.4754,26.99
XLOC_000333,Ca_00354,10.6359,15.7801,23.3614,15.2643
XLOC_000334,Ca_00355,51.3665,42.1377,52.9722,43.3074
XLOC_001918,Ca_00356,33.6472,20.3462,26.2555,35.7026
XLOC_001919,Ca_00357,0.0530755,0.0,0.174264,0.0
XLOC_001920,Ca_00358,8.77288,7.47641,9.48786,10.5784
XLOC_000335,Ca_00359,38.2993,21.5499,36.5183,11.283
XLOC_001921,Ca_00360,0.12731,0.114632,0.0763122,0.0686696
XLOC_000336,Ca_00361,3.49209,5.79424,7.37932,10.6287
XLOC_001922,Ca_00362,0.64982,1.3202,3.8112,1.37241
XLOC_001923,Ca_00363,3.82858,4.31936,6.74034,3.30809
XLOC_000337,Ca_00364,10.2078,11.5235,10.9067,9.99965
XLOC_000338,Ca_00365,0.134273,0.340966,0.415699,0.369787
XLOC_001924,Ca_00366,0.0,0.155111,0.102686,0.371984
XLOC_000339,Ca_00367,22.2316,23.31,27.7781,30.6903
XLOC_000340,Ca_00368,8.84946,8.97662,13.8473,20.1761
XLOC_001925,Ca_00369,8.6067,7.44219,8.13539,6.93274
XLOC_001926,Ca_00370,6.75101,4.46784,3.38939,3.26161
XLOC_001927,Ca_00371,81.7889,103.546,90.4317,166.241
XLOC_000341,Ca_00372,24.0638,20.813,23.1535,24.7923
XLOC_000342,Ca_00373,0.937197,0.988749,1.19723,0.959702
XLOC_000344,Ca_00374,374.157,108.171,178.389,158.628
XLOC_000345,Ca_00375,49.7,55.3931,79.5285,100.186
XLOC_000346,Ca_00376,21.0862,20.2255,26.4389,27.0543
XLOC_001928,Ca_00377,503.148,282.668,356.473,338.495
XLOC_001929,Ca_00378,8.79859,10.6691,11.3645,11.6878
XLOC_000347,Ca_00379,0.0,0.0,0.0,0.0
XLOC_001930,Ca_00380,0.0,0.0,0.0,0.0
XLOC_001931,Ca_00381,0.0,0.0,0.0,0.0
XLOC_001932,Ca_00382,22.3449,16.7691,25.5819,20.2656
XLOC_000348,Ca_00383,82.0012,52.3356,129.985,80.9233
XLOC_000349,Ca_00384,1.6482,0.439229,0.0599101,0.0
XLOC_001933,Ca_00385,4.0487,7.28515,4.64988,3.82933
XLOC_001934,Ca_00386,8.84067,10.3101,7.58867,9.1554
XLOC_001935,Ca_00387,35.9685,45.6101,75.8199,97.6571
XLOC_000350,Ca_00388,35.161,12.3213,5.15262,0.650661
XLOC_000351,Ca_00389,14.4352,20.0764,18.2055,17.9226
XLOC_000352,Ca_00390,14.4045,10.0573,11.5885,15.2933
XLOC_000353,Ca_00391,26.1048,23.2918,14.675,26.5933
XLOC_001937,Ca_00392,21.1662,18.8873,21.9824,17.0885
XLOC_000354,Ca_00393,27.2807,30.3378,31.9678,22.8585
XLOC_001939,Ca_00394,41.9649,26.4111,29.8766,34.0722
