Gene_identifier,Root-Control,Root-CS,Shoot-Control,Shoot-CS
Ca_14927,0.0,0.146932,0.344655,0.224986
Ca_14928,9.00896,4.35206,74.5585,73.8656
Ca_14929,7.80802,16.69,0.535691,0.995259
Ca_14930,10.5419,0.975236,21.435,22.8476
Ca_14931,14.2959,10.814,9.51561,8.77531
Ca_14932,2.65362,5.16075,5.00661,4.88103
Ca_14933,25.1446,12.968,1237.27,1184.18
Ca_14934,25.1446,12.968,1237.27,1184.18
Ca_14935,35.8506,19.3819,31.9778,28.6507
Ca_14936,9.41685,7.43759,8.45016,8.25328
Ca_14937,0.204945,0.317889,0.242337,0.0
Ca_14938,89.2846,134.767,83.6251,109.431
Ca_14939,4.0064,4.01731,6.31723,5.43983
Ca_14940,1.78543,0.616409,2.98937,2.54951
